name,dominant hand,dominant leg
Deborah Reese,right,right
Sonia Le,right,left
Patricia Martinez,left,left
Andrew Diaz,left,left
Frank Miller,right,right
Kimberly Potter,right,left
Michael Cook,right,right
Michael Sloan,right,right
Adam Hernandez,right,left
Michael Norris,left,right
Sabrina Fernandez DDS,right,left
Belinda Pitts,left,right
Donald Brown,right,right
Karen Neal,right,left
Mark Cruz,left,left
Benjamin Smith,right,left
Lee Flynn,left,right
Lori Miller,left,left
Kelly Howell,left,left
Connie Herrera,right,left
Linda Murillo,right,left
Mr. Michael Miller MD,right,left
Albert Harrison,left,left
Michael Harrington,left,right
Diana Mullins,left,left
Paul Taylor,right,left
Dr. Mariah Richardson,right,right
Whitney Frank,right,right
Donna Floyd,right,left
Mrs. Jennifer Tran,right,right
Eileen Sanders,right,right
Ashley Andersen,left,right
Kyle Baker,right,right
Craig Guzman,left,right
Cynthia Hayes,left,left
Bruce Henry,left,left
Michael Bowers,right,right
Devon Hill,left,right
Jaime Smith,left,right
Michelle Hughes,left,left
Alicia Mosley,right,right
Gary Evans,left,right
Eric Odonnell,left,right
Stephanie Daniels,right,left
Christopher Wong,right,left
Crystal Hernandez,left,left
Jennifer Richards,left,left
Danielle Wong,left,right
Timothy Bowman,right,right
Rachel Watts,left,left
Timothy Wagner,right,left
Paula Willis,left,right
Darren Walker,left,right
Jeffrey Jensen,right,right
Lauren Solis,right,left
Jonathan Pacheco,left,left
Michael Little,right,left
Kenneth Wilson,right,left
Michelle Baldwin,left,right
Rebecca Mccarthy,right,right
Katherine Marshall,left,left
Dr. Cory Moore MD,left,left
James Swanson,right,right
Kevin Fletcher,right,right
Rebecca Bailey,right,right
Richard Brady,right,right
Taylor Crosby,left,right
Allison Rogers,left,left
Gina Hansen,left,left
Travis Kelly,right,left
Sally Johnson,right,right
Keith Knight,right,left
Tracy Austin,right,left
Ernest Sanders,left,left
Scott Andrews,right,right
Morgan Lindsey,right,right
David Smith,left,left
Charles Wolfe,left,right
Steven Walter,left,right
Jesse Johnson,right,right
Douglas Hopkins,left,left
Jessica Gonzalez,right,left
Maria Finley,right,right
Vicki Williams,left,right
Kevin Huffman,left,right
Mark Davis,right,right
Dustin Garcia,left,right
James Gamble,left,right
David Jacobs,left,left
Brittany Chang,left,right
Philip Kelly,left,left
Phillip Duncan,left,left
Kristie Stafford,right,right
Carol Graves,left,left
Tyler Richmond,left,left
Jeremy Snyder,right,right
Anthony Morris,left,left
Abigail Paul,left,left
Ryan Smith,right,left
Terry Rangel,left,left
Brett Richardson,right,left
Lori Ryan,right,right
Jared Johnson,left,right
Dr. Lynn Wilson,left,left
Robert Hayes,left,right
Travis Gibson,left,left
Devin Graham,right,left
Gary Clark,left,left
Amy Colon,left,left
Tamara Rodriguez,left,left
Gabriel Sullivan,left,left
Jessica Fernandez,right,right
Stephanie Marshall,left,left
Amanda Wallace,left,right
Katherine Gonzalez,left,right
Ashley Guerra,left,right
Dana Bailey,right,right
David Howard,left,right
Kevin Johnson,left,right
Frank Harris,left,left
Anthony Martinez MD,right,right
Tonya Miller,left,left
Nicole Jensen,left,right
John Petersen,left,right
Kristin Wilson,left,left
Laura Fritz,right,right
Todd Erickson,left,right
Cynthia Gonzalez,left,right
Sherry Lucero,left,left
Christina Payne,left,right
Matthew Wilkinson,left,right
Gloria Villarreal,right,right
Stephanie Rodgers,left,left
Brian Smith,right,right
Mrs. Stephanie Yu MD,left,left
Calvin Spears,left,left
Alyssa Marquez,right,right
Andrew Black,right,left
Amy Moore,left,left
Mark Garrison,right,left
Paul Duarte,left,right
Lisa Castro,left,right
Christian Franklin,right,left
Dr. Elizabeth Craig,right,left
Alexandria Williams,right,left
Courtney Jones,right,right
Frank Duncan,left,left
Tiffany Hicks,right,right
Timothy Lee,right,left
Morgan Saunders,right,right
Jessica Shaw,right,left
Sydney Hunt,right,left
Peter Barrett,right,right
Samantha Holmes,right,right
Billy Lane,right,left
Dr. David Bond,left,left
William Evans,right,left
Benjamin Dodson,right,left
Melissa Allen,left,right
Amanda Cohen,left,right
Sean Bennett,right,right
Timothy Johnson,right,right
Sarah Rasmussen,left,left
Chelsey Miller,right,right
Kayla Hurley,left,right
Erin Schultz,left,left
Jennifer White,left,left
Benjamin Coleman,left,left
Brittney Mcguire,right,right
Renee Stewart,left,left
Debra Edwards,left,left
William Blevins,right,left
Stephen Gibbs,left,right
Christina Gomez,left,right
Zachary Jackson,right,right
Brian Aguirre,left,left
Ryan Alvarado,left,right
Catherine Thomas,left,left
Christine Hill,right,right
Michael Johnson,right,right
Meagan Wood,left,right
Chelsey Sparks,left,right
Andrea Shields,right,right
Christina Pham,left,left
Bobby Blake,left,right
Mr. Sean Mcdonald,left,right
Daniel Brown,right,right
Kristen Williams,right,left
Ronald Rhodes,right,left
Kelsey Smith,left,left
David Ward,right,right
Matthew Harmon,right,right
Denise Ferguson,right,left
Stephen Mills,right,right
Keith Booth,left,right
Amanda Caldwell,right,right
Elizabeth Bowen,left,right
David Fernandez,left,left
Harry Lewis,left,right
William Sandoval,right,left
Sharon Taylor,right,right
Natasha Sanchez,left,right
Lori Cain,right,left
Kelly Smith,right,right
Michael Duran,right,left
Jack Knight,left,left
Andrew King,left,left
Marc Schroeder,right,left
Madison Davis,right,right
Felicia West,left,right
Tracy Wheeler,right,left
Ryan Taylor,right,left
Karina White,right,right
Joshua Smith,left,right
William Orr,right,left
Joshua Johnson,left,left
Sarah Riley,right,left
Valerie Neal,right,right
Dana Riley,left,right
Jacob Lopez,left,left
Lindsay Browning,left,left
Andrea Lopez,right,right
Sydney Roberts,left,right
Steven Johnson,right,left
Michael Greene,right,right
Randy Herman,right,left
Patricia Franco,right,right
Alexis Benitez,right,left
Angel Taylor,right,left
Caleb Hodges,right,right
Shelby Kelly,left,right
William Jones,left,left
Gregory Nelson,left,right
Joseph Pennington,left,right
Evan Garcia,left,right
Mike Fowler,right,right
Phillip Gardner,left,left
Justin Jensen,left,left
Jason Martin,left,right
Lori Schmidt,right,right
Alan Moreno,left,right
Annette Jones,right,right
Kristin Green,left,left
Jonathan Deleon,left,left
Stacey Green,right,right
Melissa Gibson,right,left
Kristin Patton,right,right
Holly Dean,left,right
Colin Beck,right,right
Tracy Davis,right,right
Sara Pierce,left,left
Alexis Moyer,right,right
Amanda Cline,left,right
Tony Collins,left,right
Marissa Steele,right,left
Rebecca Oconnor,right,right
Christopher Berg,left,left
