student,favourite painter
Curtis Brown,Pablo Picasso
David Reyes,Rembrandt van Rijn
Lisa Johnson,Rembrandt van Rijn
Robert Johnson,Vincent van Gogh
Sarah Miller,Claude Monet
Andrew Downs,Frida Kahlo
Kathy Black,Pablo Picasso
John Scott,Frida Kahlo
Donna Martin,Vincent van Gogh
Tonya Gonzales,Rembrandt van Rijn
Richard Richardson,Michelangelo
Jessica Parks,Salvador Dalí
Rebecca Richards,Pablo Picasso
Miguel Huang,Vincent van Gogh
Michael Kane,Rembrandt van Rijn
John Ross,Rembrandt van Rijn
Theresa Fields,Pablo Picasso
Joanna Lopez,Leonardo da Vinci
James Ochoa,Leonardo da Vinci
Heidi Nelson,Jackson Pollock
David Mercado,Pablo Picasso
Mackenzie Bush,Claude Monet
Christine Simmons,Frida Kahlo
Michael Kennedy,Leonardo da Vinci
Michael Chen,Pablo Picasso
Jake Taylor,Salvador Dalí
Margaret Duran,Leonardo da Vinci
Stephanie Collins,Vincent van Gogh
Alicia Alvarado,Salvador Dalí
Edwin Bowman,Rembrandt van Rijn
Cameron Tanner,Rembrandt van Rijn
Randy Jackson,Salvador Dalí
Seth Contreras,Michelangelo
Richard Jones,Rembrandt van Rijn
Anthony Young,Michelangelo
Dan Palmer,Salvador Dalí
Latoya Cooper MD,Vincent van Gogh
Heidi Martinez,Vincent van Gogh
Courtney Simpson,Salvador Dalí
Jordan Cooley,Rembrandt van Rijn
Stacy Wood,Jackson Pollock
John Robinson,Vincent van Gogh
Jillian Jenkins,Salvador Dalí
Carolyn Garza,Vincent van Gogh
Jeremy Sullivan,Pablo Picasso
Heather Drake,Pablo Picasso
Tanya Erickson,Rembrandt van Rijn
Mary Hernandez,Jackson Pollock
Tammy Schroeder,Salvador Dalí
Stephen Fields,Frida Kahlo
Gerald Waters,Michelangelo
Bradley Wolf,Georgia O'Keeffe
Ronald Hall,Pablo Picasso
Erin Bolton,Leonardo da Vinci
Cristina Harris,Frida Kahlo
John Knox,Salvador Dalí
Heather Castillo,Pablo Picasso
Stephen Wallace,Michelangelo
Kirsten Crawford,Michelangelo
Laura Perez,Rembrandt van Rijn
Charlene Campbell,Michelangelo
Troy Bryan,Rembrandt van Rijn
Richard Henderson,Vincent van Gogh
Jeffery Griffin,Georgia O'Keeffe
Barbara Stewart,Salvador Dalí
Kari White,Claude Monet
Matthew Mckinney,Rembrandt van Rijn
Richard Holmes,Georgia O'Keeffe
James Adams,Pablo Picasso
Mia Guerrero,Leonardo da Vinci
Lisa Lawson,Salvador Dalí
Joseph Guzman,Pablo Picasso
Ashlee Johnson,Leonardo da Vinci
Derek Russell,Rembrandt van Rijn
David Haynes,Salvador Dalí
Virginia Conway,Michelangelo
Gregory Johnson,Georgia O'Keeffe
David Moore,Frida Kahlo
Jessica Mooney,Vincent van Gogh
Alejandro Ramos,Michelangelo
Jill Watkins,Leonardo da Vinci
Stephanie Henry,Georgia O'Keeffe
Andrea Schneider,Salvador Dalí
Tiffany Rivera,Claude Monet
Shannon Thompson,Leonardo da Vinci
James Woods,Vincent van Gogh
Jason Brown,Jackson Pollock
James Fleming,Georgia O'Keeffe
David Gray,Frida Kahlo
Stacy Anderson,Salvador Dalí
Eric Garcia,Frida Kahlo
Theresa Evans,Pablo Picasso
Christina Francis,Jackson Pollock
Aaron Mcdaniel,Vincent van Gogh
Pamela Garcia,Vincent van Gogh
Thomas Kennedy,Michelangelo
Karen Hebert,Jackson Pollock
Jessica Trujillo,Michelangelo
Emily Baker,Rembrandt van Rijn
William Cobb,Claude Monet
